classification,reason_for_recall,product_description,recall_number
Class I,"Marketed Without An Approved NDA/ANDA: FDA analysis found the product to contain hydroxythiohomosildenafil, an analogue of sildenafil which is an ingredient in an FDA-approved drug for the treatment of male erectile dysfunction, making this an unapproved new drug.","ROCK-IT MAN capsules, male sexual stimulant, packaged in 1-count (UPC 8 53447 02003 8) and 2-count (UPC 8 53447 00204 1) blister cards, Distributed by Consumer Concepts.",D-325-2013
Class I,"Marketed Without An Approved NDA/ANDA: Products were found to contain undeclared sibutramine, the active ingredient in a previously approved FDA product indicated for weight loss but removed from the market for safety reasons, making these products unapproved new drugs.","Ultimate Formula, Net Wt. 250 mg, 48 capsules per bottle, Distributed by:  Zi Xiu Tang Success, LLC., Trexlertown, PA  18087, UPC 7 9357304140 1",D-370-2014
Class I,Non-Sterility: FDA found insanitary conditions and positive bacterial test results from environmental sampling at the manufacturing facility.,"LEADER brand Eye Irritation Relief (Polyvinyl alcohol 0.5%, Povidone 0.6%, Tetrahydrozoline Hydrochloride 0.05%), 0.5 FL OZ (15 mL) dropper bottles, Sterile, Distributed By Cardinal Health, Dublin, Ohio 43017,  Made in India NDC: 70000-0087-1",D-0131-2024
Class I,Microbial contamination,"Aquaflora Phase I Candida Control Program, Net 16 fl. oz. (1 PT) 473 mL, Homeopathic Formula, Manufactured by: King Bio, Inc. 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955160168, NDC 57955-1601-6",D-0902-2019
Class I,Chemical Contamination: Product contains undeclared methanol.,"All Clean Hand Sanitizer, Fresh Scent, 1 Liter bottles, Ethyl Alcohol 70.00%, Produced by Eskbiochem SA de CV Ave Mexico Japon 50 Celaya, Gto. Mexico 38010, Distributed by All Clean Natural LTD, UPC Code 6 28055 37013 0",D-1538-2020
Class I,Microbial Contamination of Non-Sterile Products: FDA Laboratory results found product to be contaminated with Bacillus lichenformis and Bacillus sonorensis.,"Easy Care First Aid Class A ANSI 25 Person, First Aid Kit, containing Easy Care first aid After Burn Cream 0.9 g packets, Product # 9999-2150",D-0250-2023
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic ClaustroPlex, 2 fl. oz. (59 mL), King Bio, Inc. 3 Westside Dr. Asheville, NC 28806, UPC 357955503521,  NDC 57955-5035-2",D-0623-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine for kids! Attention & Learning Enhancement Homeopathic, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside dr. Asheville, NC 28806 USA, UPC 357955501527, NDC 57955-5015-2",D-0667-2019
Class I,Superpotent (Single Ingredient) Drug: Some of the prefilled cartridge units have been found to be overfilled and contain more than the 1 mL labeled fill volume.,"HYDROmorphone HCl Injection, USP, 1 mg/mL, 1 mL fill in a 2.5 mL Carpuject prefilled cartridge unit, packaged in 10-count Carpujects per carton, Rx only, Hospira, Inc., Lake Forest, IL  60045, NDC 0409-1283-31, Barcode (01) 1 030409 128331 9 (carton), (01) 0 030409 128331 2 (cartridge unit).",D-1444-2012
Class I,"Marketed Without an Approved NDA/ANDA: These dietary supplements contain undeclared sildenafil, an analogue of sildenafil, and/or tadalafil.","ExtenZe 600 mg, 30 tablet box,  Manufactured for: Biotab Nutraceuticals, Inc., Pasadena, CA.",D-1339-2014
Class I,Presence of Particulate Matter:  The 1g Cefepime for Injection USP and Dextrose Injection USP lot has been found to contain visible organic particulate matter in a reserve sample unit.,"Cefepime for Injection USP and Dextrose Injection USP, in Duplex Drug Delivery System, 1 g in 50 mL duplex container, For IV Use Only, Single Dose, Sterile/Non pyrogenic, Rx Only, B Braun Medical Inc., NDC 0264-3193-11",D-1054-2014
Class I,Presence of Particulate Matter: confirmed customer complaint for the presence of particulate matter identified as iron oxide.,"LACTATED RINGER'S Injection, USP 1000 mL flexible container, Rx Only, Hospira, Inc., Lake Forest, IL 60045, NDC 0409-7953-09",D-1270-2020
Class I,Microbial contamination,"Dr. King's SafeCare Rx Children's Fever Reliever Children High Potency Homeopathic Formula for Professional Use Only, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955015925, NDC 57955-0176-2",D-0689-2019
Class I,"Marketed Without An Approved NDA/ANDA: tainted product marketed as a dietary supplement. Product found to be tainted with undeclared sibutramine, an appetite suppressant that was withdrawn from the US market for safety reasons, and phenolphthalein, an ingredient found in over-the-counter laxative products that was withdrawn from the US market due to concerns of carcinogenicity, making it an unapproved drug.","Asset BOLD Capsules, 500 mg, 60-count bottles, Distributed by Descor, LLC www.assetcapsules4u.com",D-1138-2016
Class I,Microbial contamination of non-sterile products.,"Walgreens, Dye-Free, Magnesium Citrate, SALINE LAXATIVE, Oral Solution, (1.745 g/fl oz), Lemon Flavor, 10 FL OZ (296 mL), Distributed By: Walgreen Co. 200 Wilmot Rd., Deerfield, IL 60015, NDC 0363-8166-38 UPC 3 11917 20160 3 (green label)",D-1509-2022
Class I,Non-Sterility: Failing sterility results were obtained from the recalling firm's contract testing facility indicating that the products may not be sterile.,"Ascorbic Acid 500 mg/mL Sterile Injection, 50mL Multi-dose Vial, Rx only,  Pharmacy Creations, Randolph, NJ 07869 (973) 328-8756.",D-0305-2015
Class I,Presence of Particulate Matter.,"Treprostinil Injection, 20 mg/20 mL (1 mg/mL), For Subcutaneous or Intravenous Infusion Only, 20 mL Multiple-Dose Vial, Rx Only, Distributed by: Par Pharmaceutical, Chestnut Ridge, NY 10977.  NDC: 42023-206-01",D-0429-2024
Class I,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,"Skin Guard 24 All-Day Hand Sanitizer 1 4""x6"" Hand Sanitizing Towelette packaged in 2.5 x 3.75 packets, Dist by: SG24 LLC, Bolingbroke, GA 31004",D-1574-2020
Class I,MARKETED WITHOUT AN APPROVED NDA/ANDA: Product found to be tainted with metformin and glyburide,"Dr. Ergin's SugarMD, ADVANCED GLUCOSE SUPPORT Capsules, Dietary Supplement, helps support healthy glucose levels a) 60 count (UPC 1 95893 92767 8), b) 120 count (UPC 1 95893 54697 8), c) 180 count (UPC 1 95893 99957 6) bottles, Manufactured for SUGARMDS LLC, Port St. Lucie, FL 34952.",D-0138-2024
Class I,Microbial contamination,"Dr. King's Kids Bed Wetting Homeopathic, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955501220, NDC 57955-0447-2",D-0659-2019
Class I,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 & 1/2 grain (90 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-157-04.",D-1179-2018
Class I,Chemical Contamination: Product manufactured with ethanol API that contains methanol,"Aruba Aloe Hand Sanitizer Gel, 80% Alcohol, 12 fl oz (355 mL) plastic bottle, Manufactured in Aruba by Aruba Aloe Balm Inc., Pitastraat 115, Aruba, Dutch Caribbean.  UPC 0 82252 03300 5",D-0460-2024
Class I,Chemical contamination: product contains elevated levels of undeclared lead.,"Acadia Farms, Serenity, soothing mint, 300 MG Hemp Oil, 1 Fl OZ (30 ML) bottles, Distributed by: Acadia Farms, Rehobeth, Massachusetts",D-1469-2020
Class I,"Marketed Without an Approved NDA/ANDA: These dietary supplements contain undeclared sildenafil, an analogue of sildenafil, and/or tadalafil.","BOOST ULTRA, sexual enhancement dietary supplement, 12-capsule/bottle.  Also packaged in 3 pill bottles and 1 pill packs. BoostUtra.com, Springfield, MO.",D-1335-2014
Class I,Microbial contamination,"Dr. King's SafeCare Rx Environmental Adaptation: Weather Changes, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955028727, NDC 57955-0287-2",D-0860-2019
Class I,Microbial contamination,"NET Remedies #1 Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",D-0911-2019
Class I,"Marketed Without an Approved NDA/ANDA:  The products were found to contain FDA approved ingredients and analogues of FDA approved ingredients used to treat male erectile dysfunction, making them unapproved new drugs.","Mojo Nights, 1 capsule, UPC 7 18122 11983 7, Distributed By: Mojo Health Lauderhill, FL 33351",D-327-2013
Class I,Microbial contamination,"NET Remedies #7 Flora Plus Homeopathic Preparation, Oral Liquid, 57 mL, NDC 57955-4207-2",D-0946-2019
Class I,"Marketed without an Approved NDA/ANDA; FDA analysis found the presence of undeclared tadalafil, sildenafil and/or their analogues and Flibanserin","Cummor Natural Male Enhancement, Herbal Dietary Supplement Capsules, 500 mg, supplied in 2, 4 and 10  count packages, Made in Malaysia, Distributed by Naturally Hard Supplements, Reno, NV  --- UPC code #680474229116",D-0962-2017
Class I,Non Sterility; contaminated with Klebsiella pneumoniae,"Honeywell eyesaline Eyewash Sterile Isotonic Solution, sterile water 99%, 32 fl. oz. (946 ml.), Sperian Eye & Face Protection, Inc. (a Honeywell Company), Platteville, WI  53818",D-0216-2017
Class I,Non-Sterility: FDA analysis found unopened products to have bacterial contamination.,"Artificial Tears (Carboxymethylcellulose Sodium) Lubricant Eye Drops, 10 MG in 1 ml, 1/2 fl oz (15 ml) bottle, Distributed by. EzriCare, LLC, Lakewood, NJ, NDC 79503-0101-15.",D-0919-2023
Class I,Presence of Particulate Matter.,"0.9% Sodium Chloride Injection USP, 1000 mL container, Rx only, B. Braun Medical, Inc., Bethlehem, PA 18018-3524 USA, NDC 0264-7800-09",D-0628-2025
Class I,Presence of particulate matter: glass,"Bleomycin for Injection, USP, 15 units per vial, 1 single dose glass fliptop vial, Rx Only, Distributed by: Hospira, Inc., Lake Forest, IL 68045, NDC 61703-332-18",D-0261-2024
Class I,"Marketed Without an Approved NDA/ANDA: FDA analysis found product to contain undeclared sibutramine and phenolphthalein. Sibutramine is an appetite suppressant that was withdrawn from the US market due to safety concerns. Phenolphthalein was once an ingredient used in over-the-counter laxatives, but because of concerns of carcinogenicity is not currently approved for marketing in the US. The presence of sibutramine and phenolphthalein in this product renders it an unapproved drug for which the safety and efficacy has not been established and, therefore, subject to recall.","Golean DETOX capsules, 14 Net: 56 g, 14 packets containing 2 capsules per packet, 28-count capsules per box, MAT XI S.G Co., LTD, Head office: J29 Vo Thi Sau Street, Thong Nhat Ward, Bien Hoa City, Dong Nai Province, Viet Nam; Manufactory: 148/9 Tan Tien Ward, Bien Hoa City, Dong Nai Province, Viet Nam; Product distribution franshise by GoLean Detox Enterprise 002677155-A Malaysia, www.matxisg.com, UPC 8 938510 909013.",D-1009-2019
Class I,Chemical Contamination: presence of benzene,"LOTRIMIN AF, (Miconazole nitrate 2%), Jock Itch, Powder Spray, NET WT 133g (4.6 OZ) can, Dist by: Bayer Healthcare LLC, Whippany, NJ 07981, Product of Spain,  NDC 11523-4140-2. UPC 3 11017 41031 8",D-0247-2022
Class I,Presence of Particulate Matter: particulate matter identified as fibers and/or plastics,"Potassium Chloride Injection, 20 mEq per 50 mL, 50 mL Sterile Single Dose Container bag, Rx only, Baxter Healthcare Corporation, Deerfield, IL  60015, NDC 0338-0703-41, Product Code 2B0822.",D-1593-2014
Class I,"Marketed Without an Approved NDA/ANDA: Products found to contain undeclared sibutramine, N-Desmethylsibutramine, and N-di-  Desmethylsibutramine. Sibutramine was removed from the U.S. market for safety reasons, making these products unapproved new drugs.","Esbelder Siloutte  Suplemento Alimenticio, 30 capsule bottle, Hecho en Mexico Por: Herbal Give Care, Av Independencia # 1016, Fracc. La Rinconada, Aguascalientes, Ags. Mex. C.P. 20136.     UPC 7502011000268",D-1331-2014
Class I,Microbial contamination,"Dr. King's Natural Medicine for kids! Children's Fever Reliever Homeopathic, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside dr. Asheville, NC 28806 USA, UPC 357955515920, NDC 57955-5159-2",D-0663-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Heartburn Relief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955002222, NDC 57955-0022-2",D-0793-2019
Class I,"Presence of Particulate Matter: Product complaints received of grey flecks, identified as shredded rubber particulate matter from the stopper observed in reconstituted vials.","Ceftriaxone for Injection USP, 250 mg, packaged in a) one Single Use Vial (NDC 68180-611-01) and b) 10 Single Use Vials per box (NDC 68180-611-10); Rx only, Manufactured for: Lupin Pharmaceuticals, Inc., 111 South Calvert Street, Baltimore, Maryland  21202; Manufactured by: Lupin Limited, Mandideep 462 046 INDIA.",D-0355-2019
Class I,"Marketed without an Approved NDA/ANDA: undeclared Active Pharmaceutical Ingredients sildenafil, desmethyl carbodenafil and tadalafil.","grande X 5800 capsule, (Maca Root 120 mg, Horny Goat Weed 120 mg, Guarana Seed 80 mg, Ginko Leaf 60 mg, Saw Palmetto 100 mg, Damiana Leaf 100 mg, Ginseng Root 80 mg, Tribulus Terrestris 90 mg, Tongkat Alo 100 mg, Rhodiola Rosea 60 mg, L-Arginine 90 mg),  1-capsule packets, distributed by Grande X Ontario, CA 91745, UPC 640793555440",D-0106-2018
Class I,Non-Sterility: firm's third party lab confirmed microbial contamination.,"Sodium Bicarbonate in 5% Dextrose Injection, 150 mEq per 1,000 mL (12.6 mg per mL), 1,000 mL bags, Rx only, SterRx, 141 Idaho Ave., Plattsburgh, NY 12903 NDC 70324-326-01",D-0767-2021
Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Adventist Hinsdale Hospital (IL) Neonatal Starter: Troph 4%Dex5% ,Trophamine 4% Dextrose 5%, Additives: heparin PF 0.5 unit(s)/ml, compound vol: 250 ml, sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",D-443-2015
Class I,Marketed without an Approved NDA/ANDA: FDA analysis found product to be tainted with undeclared Diclofenac and Omeprazole.,"Umary Acido Hialuronico, Suplemento Alimenticio, 850 mg caplets, packaged in 30-count bottles.",D-0620-2024
Class I,"Presence of Foreign Tablets/Capsules: There is a potential presence of oxycodone HCl tablets, USP 5 mg in bottles.","Betaxolol Tablets, USP 10 mg, Rx Only, 100 count bottles, Mfd by: KVK Tech Inc., Newtown, PA 18940, Made in USA, NDC# 10702-013-01.",D-0049-2024
Class I,Presence of Particulate Matter: glass particulate found in vial,"Vancomycin Hydrochloride for Injection, USP. 750 mg.  Sterile Powder. Rx Only. Hospira, Inc., Lake Forest, IL 60045 USA.  NDC:  0409-6531-02",D-0123-2018
Class I,Chemical contamination: product contains elevated levels of undeclared lead.,"Javan Anti Aging and Wellness Institute, CBD Oil, Full Spectrum Hemp Oil, Spearmint, 300MG CBD, 1 FL. OZ (30 ML) bottles, Dist by: Javan Wellness LLC, 1445 Church St NW Unit 24, Washington, DC 20005",D-1463-2020
Class I,A complaint was received from a hospital pharmacy on 11/10/11 for crystalline particulates in a single vial from Lot V10194. Additional small visible particles consisting of fibers were identified.,"Argatroban Injection 50 mg per 50ml (1 mg per ml)  For Intravenous Infusion Only, a) Single Use Vial (NDC 42367-203-07),  b) 10 Single Use Vials(NDC 42367-203-84), Rx Only, Manufactured by: Cipla LTD, India, Manufactured for: Eagle Pharmaceuticals, Inc.  Woodcliff Lake, NJ  07677 USA, Marketed by: The Medicines Company, Parsippany, NJ 07054 USA",D-1429-2012
Class I,Marketed without an Approved NDA/ANDA: Product contains undeclared sildenafil which was discovered through FDA analysis.,"Bow & Arrow, Dietary Supplement, Libido Enhancer for Men, a) Four pack, b) Ten pack capsules per carton, Exclusively Manufactured by: Medicine Man Distribution, 4234 I-75 Business Spur, Sault Ste Marie, MI 49783",D-1037-2020
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Acid Detox, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955512721, NDC 57955-5227-2",D-0646-2019
Class I,Chemical contamination: presence of benzene,"Suave 24-Hour Protection Aerosol Antiperspirant Powder scent, Aluminum Chlorohydrate (19.1%), packaged in a) 4 oz. cans (UPC 0 79400 75150 8), and b) 6 oz. cans (UPC 0 79400 78490 2), Dist. By Unilever, Trumbull, CT 06611",D-0210-2024
Class I,Non-Sterility,"CVS Health brand Mild Moderate Lubricating Eye Drops (Propylene glycol 400 0.25%), packaged in 0.5 FL OZ (15 mL) bottles, Distributed by: CVS Pharmacy Inc. One CVS Drive Woonsocket, RI 02895. NDC 76168-711-15",D-0305-2024
Class I,"Marketed Without an Approved NDA/ANDA: These dietary supplements contain undeclared sildenafil, an analogue of sildenafil, and/or tadalafil.","XZEN PLATINUM, 750 mg, Distributed by: XZEN, Los Angeles, CA.",D-1340-2014
Class I,Presence of Particulate Matter: human hair found within an internal sample syringe.,"Infant 25% DEXTROSE Injection, USP, 2.5 g (250 mg/mL), 10 mL Unit of Use Single-dose Syringe per carton, Rx only, Hospira Inc., Lake Forest, IL 60045, NDC 0409-1775-10",D-0862-2017
Class I,Microbial Contamination of Non-Sterile Products: FDA Laboratory results found product to be contaminated with Bacillus lichenformis and Bacillus sonorensis.,"Adventure First Aid 1.5, First Aid Kit, containing Easy Care first aid After Burn Cream 0.9 g packets, Product # 0120-0212",D-0247-2023
Class I,"Marketed Without An Approved NDA/ANDA: All lots of Volcano Liquid and Volcano Capsules, marketed as dietary supplements, are being recalled because they were found to contain undeclared active pharmaceutical ingredients, making them unapproved new drugs.","Volcano Male Enhancement 1500mg, 1-count capsule packaged in a black round plastic pop top container, (Proprietary Formula, Pueraria lobata, Cinnamon Bark, Cuscuta, Gui, Licorice, Altractylodes, Dang Condonopsis, Dismutase, Cornus, Rubus, Deng Sen Extract, Panax Ginseng, Cordyceps Sinensis, Go Ji Extract, Superoxide Dismutase).",D-345-2014
Class I,Chemical contamination; presence of benzene,"Coppertone SPORT Sunscreen Spray 50, (To Deliver) Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 5%, NET WT 1.6 OZ (45 g) can, Beiersdorf Inc., Wilton, CT 06897  UPC 0 41100 00506 9",D-0014-2022
Class I,Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,"FentaNYL citrate PF, 2500 mcg per 250 mL 0.9% Sodium Chloride (10 mcg per mL), Item F3342, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-072-82.",D-0278-2024
Class I,Superpotent (Multiple Ingredient) Drug: Complaint received of oversized tablets.,"Hydrocodone bitartrate and acetaminophen Tablets, USP, 10 mg/500 mg, packaged in a) 30-count bottles, NDC 0603-3888-16; b) 60-count bottles, NDC 0603-3888-20; c) 90-count bottles, NDC 0603-3888-02; d) 100-count bottles, NDC 0603-3888-21; e) 120-count bottles, NDC 0603-3888-22; f) 150-count bottles, NDC 0603-3888-26; g) 180-count bottles, NDC 0603-3888-04; h) 500-count bottles, NDC 0603-3888-28; and i) 1000-count bottles, NDC 0603-3888-32, Rx only, Mfg. for: Qualitest Pharmaceuticals, Huntsville, AL 35811.",D-138-2013
Class I,Microbial contamination,"Dr. King's SafeCare Rx Allergies Southern U.S. Allergy, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955260127, NDC 57955-2721-2",D-0702-2019
Class I,Non-Sterility: FDA analysis found unopened products to have bacterial contamination.,"Delsam Pharma's ARTIFICIAL TEARS (Carboxymethylcellulose Sodium) Lubricant Eye Drops, 10 MG in 1 ml, 1%, 1/2 fl oz (15 ml) bottle, Distributed By: Delsam Pharma Llc, Bronx, New York 10467, NDC 72570 121 15.",D-0921-2023
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Caffeine Detox, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955540229, NDC 57955-6202-2",D-0647-2019
Class I,Presence of Particulate Matter: B. Braun Medical Inc. is recalling several injectable products due to visible particulate matter found in reserve sample units.,"Cefepime for Injections USP and Dextrose Injection USP, 1 g in Duplex, 50 mL Container, Catalog Number 3193-11, For IV Use Only, Single Dose, Sterile, Rx Only, B Braun Medical Inc., Irvine CA 92614-5895, NDC 0264-3193-11",D-1267-2014
Class I,Marketed Without an Approved NDA/ANDA: FDA sampling confirmed the presence of Salicylic acid  in dietary supplements.,"Thin and Slim Naturally The Natural Alternative AM Dietary Supplement packaged in 90 capsule containers. Distributed by TSN Labs Inc., P.O. Box 38, Midvale, UT 84047, 1-800-769-7290, www.tsn2000.com",D-0968-2016
Class I,Microbial contamination,"Dr. King's SafeCare Rx Grief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955206026, NDC 57955-2061-2",D-0798-2019
Class I,Non-Sterility: Confirmed customer complaints of glass product container vials that may be empty or cracked.,"Hydromorphone, Hydrochloride, Injection, USP CII, 10 mg/mL, Rx Only, 1 mL Single-dose Vial, High Potency Formulation.  Hospira, Inc., Lake forest, IL 60045 USA.  NDC:  0409-2634-01",D-0597-2018
Class I,Microbial contamination,"Dr. King's Natural Medicine Aquaflora Candida High Potency 9 Multi-Strain Candida Formula, 236 mL, (liquid/liquide), Manufactured by:/Fabrique par: King Bio, Inc. 3 Westside Dr., Asheville, NC 28805 USA Import by: Importe par: Ambiental Solutions Inc. Vancouver, BC, V5Y 1E6, DIN-HM 80036805 UPC 357955180289",D-0962-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Water Retention, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955507826, NDC 57955-5078-2",D-0586-2019
Class I,Chemical contamination: product contains elevated levels of undeclared lead.,"Pathway To Wellness, CBD Oil, Premium Hemp Oil Drops, Natural, 1000MG CBD, 1 FL OZ (30 ML) bottles, Distributed by: Pathway to Wellness",D-1464-2020
Class I,Labeling: Label Mix-up: Bottle labeled as Benzonatate 100 mg capsules contained Benzphetamine 50 mg tablets and a bottle labeled as Benzphetamine 50 mg tablets contained Benzonatate 100 mg capsules.,"Benzonatate capsules, 100mg, repackaged in 30-count bottles, Distributed by Calvin Scott & Co., Inc, Albuq., NM. 87123,  NDC 67877-0573-05",D-1124-2022
Class I,"Marketed Without An Approved NDA/ANDA: tainted product marketed as a dietary supplement. Product found to be tainted with undeclared sibutramine, an appetite suppressant that was withdrawn from the US market for safety reasons, and phenolphthalein, an ingredient found in over-the-counter laxative products that was withdrawn from the US market due to concerns of carcinogenicity, making it an unapproved drug.","Oasis Capsules,  500mg, 45-count bottles, Manufactured for: MWN Health 37 N Orange Ave Suite 500 Orlando FL 32801 (407)930-4043",D-1144-2016
Class I,"Presence of Particulate Matter: During a review of retain samples, the firm found a glass particulate in one lot of Acetylcysteine Solution","Acetylcysteine Solution, USP, 10%, 30 mL vial, Rx only, Ben Venue Laboratories, Inc., Bedford, OH, NDC 0054-3025-02",D-1326-2014
Class I,Microbial Contamination of Non-Sterile Products: Failed microbiological testing for Pseudomonas aeruginosa.,"Sinus Relief (oxymetazoline HCl) Nasal decongestant, 0.05%, 0.5 FL OZ (15 mL) bottle, Distributed by: CVS Pharmacy, Inc., One CVS Drive, Woonsocket, RI 02895, UPC 0 50428 43236 5.",D-0074-2019
Class I,Marketed Without an Approved NDA/ANDA: FDA analysis determined the presence of tadalafil,"ALPHA MALE+ Male Enhancer, fruit chew strips, 1 strip per foil pouch, Distributed by Umbrella Labs, Made in the USA, UPC 8 60003 03770 6. Also manufactured for and distributed by: Alpha Male Plus, Tucson, AZ  UPC 8 60003 74518 2 (pouch), UPC 8 60003 74512 0(carton)",D-0001-2022
Class I,Microbial contamination,"Dr. King's SafeCare Rx Insecurity, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955256021, NDC 57955-2561-2",D-0808-2019
Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Methodist Hospital Northlake (IN) Neo Starter TPN D5, AA2, Trophamine 2% Dextrose 5%, Additives: heparin PF 100 units/mL, 50 units/dL, Calcium Gluconate 0.46 mEq/mL, 200 mg/dL, compound vol: 300 ml, sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",D-447-2015
Class I,Subpotent Drug: FDA analysis found product to be subpotent,"Nature Throid, 1.25 Grain (81.25 mg) Thyroid USP [Liothyronine (T3) 11.25 mcg, Levothyroxine (T4) 47.5 mcg], 100-count bottles, Rx only, Manufactured by: RLC Labs Phoenix, AZ 85024, NDC 64727-3303-1",D-1617-2020
Class I,"Marketed without an approved NDA/ANDA: Product contains tianeptine, a substance not FDA-approved for any medical use in the United States.","Neptune's Fix, Tianeptine Elixir, Fast Acting, 0.338 fl.oz. (10 mL) bottle, Distributed By Superchill Products, 827 6th Avenue, New York, New York 10001.",D-0393-2024
Class I,Microbial contamination,"Dr. King's SafeCare Rx Procrastination, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955276029, NDC 57955-2761-2",D-0883-2019
Class I,Marketed Without an Approved NDA/ANDA: FDA sampling confirmed the presence of Salicylic acid  in dietary supplements.,"Thin and Slim Extreme Stack Fat Burner Dietary Supplement packaged in 90 capsule containers.  TSN Labs Inc., P.O. Box 38, Midvale, UT 84047, 1-800-769-7290, www.tsn2000.com",D-0969-2016
Class I,Marketed without an approved NDA/ANDA  - These products are being recalled due to the presence of synthetic hormone/prohormone (methylated anabolic steroid) ingredient making them unapproved new drugs.,"HALO-70 MEGA MASS BUILDER (4-chloro-17a-methyl-androst-1,4-diene-3b,17b-diol 35mg), Capsules, 60 count bottle, Manufactured for: Wyked Labs LLC, Winter Park, FL 32789",D-0986-2015
Class I,Chemical contamination: product contains elevated levels of undeclared lead.,"Herbzeedy, Hemp Oil Full Spectrum, Natural, 500 MG CBD, 1 FL OZ (30 ML) bottles, Distributed by: Herbzeedy, Statesboro, GA",D-1462-2020
Class I,Microbial Contamination of Non-Sterile Drug Product: The products were found to be contaminated with the bacteria Burkholderia cepecia.,"DermaSarra, External Analgesic, (Camphor 0.5%)  222 mL (7.5 fl. oz.) per bottle, DermaRite Industries LLC, 7777 West Side Avenue, North Bergen, NJ 07047. NDC 61924-189-08",D-0611-2025
Class I,Chemical Contamination: presence of benzene,"Lotrimin AF (Tolnaftate 1%) Daily Prevention deodorant powder spray, NET WT 160g (5.6 OZ) can, Dist by: Bayer Healthcare LLC, Whippany, NJ 07981, Product of Finland,   UPC 0 41100 58720 6, NDC 11523-0010-2.",D-0249-2022
Class I,Chemical contamination: product contains elevated levels of undeclared lead.,"Tasty Drops Hemp Oil Extract, Spearmint, 1 FL. OZ (30ML) bottles, 300MG CBD, Dist by: Tasty Hemp Oil, Jenison, MI, UPC 8 02991 76472 1",D-1449-2020
Class I,"Marketed Without an Approved NDA/ANDA: Product was found to contain undeclared active pharmaceutical ingredients: N-desmethylsibutramine, benzylsibutramine, and sibutramine","Meizitang Strong Version Botanical Slimming, Soft Gel Capsules, 650 mg, supplied in 30 count bottles, distributed by MyNicKnaxs, LLC, Deltona, FL",D-1380-2014
